[Complete Syllabus] - 3rd Grade 1st level B-02 || Complete Syllabus(Q1-62) || GK || 12-February : https://apps-s3-video-dist.utkarshapp.com/v1/file_manager/videos/vod/2475996/482733607168798300_gallery.m3u8
[मुद्रास्फीति] - Part-1 || मुद्रास्फीति || 15-October : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2311482/utk-27/1729005887/index.m3u8
[मुद्रास्फीति] - Part-2 || मुद्रास्फीति || 16-October : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2312735/utk-57/1729089403/index.m3u8
[मुद्रास्फीति] - Part-3 || मुद्रास्फीति || 17-October : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2314299/utk-52/1729175144/index.m3u8
[बैंकिंग] - Part-1 || बैंकिंग || 19-October : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2317504/utk-48/1729346903/index.m3u8
[बैंकिंग] - Part-2 || बैंकिंग || 20-October : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2319030/utk-1/1729433306/index.m3u8
[बैंकिंग] - Part-3 || बैंकिंग || 21-October : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2321295/utk-44/1729519542/index.m3u8
[बैंकिंग] - Part-4 || बैंकिंग || 25-October : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2323470/utk-39/1729857325/index.m3u8
[मुद्रा] - Part-1 || मुद्रा || 27-October : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2326085/utk-25/1730037905/index.m3u8
[मुद्रा] - Part-2 || मुद्रा || 28-October : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2328648/utk-45/1730124277/index.m3u8
[मुद्रा] - Part-3 || मुद्रा || 04-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2328873/utk-7/1730729348/index.m3u8
[आर्थिक वृद्धि एवं नियोजन] - Part-1 || आर्थिक वृद्धि एवं नियोजन || 05-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2329991/utk-16/1730801885/index.m3u8
[आर्थिक वृद्धि एवं नियोजन] - Part-2 || आर्थिक वृद्धि एवं नियोजन || 06-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2331357/utk-9/1730889086/index.m3u8
[आर्थिक वृद्धि एवं नियोजन] - Part-3 || आर्थिक वृद्धि एवं नियोजन || 07-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2332713/utk-12/1730974534/index.m3u8
[आर्थिक वृद्धि एवं नियोजन] - Part-4 || आर्थिक वृद्धि एवं नियोजन || 08-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2334118/utk-24/1731076446/index.m3u8
[राजस्थान में कृषि क्षेत्र] - Part-1 || राजस्थान में कृषि || 11-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2336920/utk-55/1731335691/index.m3u8
[राजस्थान में कृषि क्षेत्र] - Part-2 || राजस्थान में कृषि || 12-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2340050/utk-15/1731422645/index.m3u8
[राजस्थान में कृषि क्षेत्र] - Part-3 || राजस्थान में कृषि || 13-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2340953/utk-59/1731508369/index.m3u8
[राजस्थान में भौतिक विकास] - Part-1 || राजस्थान में भौतिक विकास || 14-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2341585/utk-32/1731595123/index.m3u8
[राजस्थान में भौतिक विकास] - Part-2 || राजस्थान में भौतिक विकास || 15-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2343083/utk-37/1731681637/index.m3u8
[राजस्थान में भौतिक विकास] - Part-3 || राजस्थान में भौतिक विकास || 16-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2344598/utk-61/1731767469/index.m3u8
[राजस्थान में भौतिक विकास] - Part-4 || राजस्थान में भौतिक विकास || 18-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2346735/utk-66/1731940973/index.m3u8
[राजस्थान में भौतिक विकास] - Part-5 || राजस्थान में भौतिक विकास || 19-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2347539/utk-20/1731997990/index.m3u8
[राजस्थान में गरीबी] - Part-1 || राजस्थान में गरीबी || 20-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2349048/utk-66/1732077229/index.m3u8
[राजस्थान में गरीबी] - Part-2 || राजस्थान में गरीबी || 21-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2350480/utk-33/1732171045/index.m3u8
[राजस्थान में गरीबी] - Part-3 || राजस्थान में गरीबी || 25-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2356008/utk-30/1732516246/index.m3u8
[राजस्थान में बेरोजगारी] - Part-1 || राजस्थान में बेरोजगारी || 26-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2356708/utk-44/1732592994/index.m3u8
[राजस्थान में बेरोजगारी] - Part-2 || राजस्थान में बेरोजगारी || 27-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2358040/utk-1/1732689182/index.m3u8
[राजस्थान में बेरोजगारी] - Part-3 || राजस्थान में बेरोजगारी || 28-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2359520/utk-45/1732775501/index.m3u8
[लोक वित्त] - Part-1|| लोक वित्त || 29-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2361067/utk-6/1732862282/index.m3u8
[लोक वित्त] - Part-2 || लोक वित्त || 30-November : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2362560/utk-31/1732948741/index.m3u8
[लोक वित्त] - Part-3 || लोक वित्त || 02-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2364150/utk-56/1733121362/index.m3u8
[लोक वित्त] - Part-4 || लोक वित्त || 03-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2365563/utk-13/1733208135/index.m3u8
[मानव विकास] - Part-1 || मानव विकास || 04-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2367272/utk-2/1733293815/index.m3u8
[मानव विकास] - Part-2 || मानव विकास || 05-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2368708/utk-29/1733380437/index.m3u8
[आधारभूत संरचना का विकास] - Part-1 || आधारभूत संरचना का विकास || 06-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2370201/utk-2/1733466894/index.m3u8
[आधारभूत संरचना का विकास] - Part-2 || आधारभूत संरचना का विकास || 07-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2371665/utk-36/1733553107/index.m3u8
[आधारभूत संरचना का विकास] - Part-3 || आधारभूत संरचना का विकास || 09-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2373232/utk-5/1733726086/index.m3u8
[आधारभूत संरचना का विकास] - Part-4 || आधारभूत संरचना का विकास || 10-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2374659/utk-27/1733812595/index.m3u8
[आधारभूत संरचना का विकास] - Part-5 || आधारभूत संरचना का विकास || 11-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2376096/utk-63/1733889832/index.m3u8
[आधारभूत संरचना का विकास] - Part-6 || आधारभूत संरचना का विकास || 12-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2377545/utk-67/1733976386/index.m3u8
[आधारभूत संरचना का विकास] - Part-7 || आधारभूत संरचना का विकास || 13-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2379142/utk-31/1734062196/index.m3u8
[आधारभूत संरचना का विकास] - Part-8 || आधारभूत संरचना का विकास || 16-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2382059/utk-6/1734324550/index.m3u8
[राजस्थान में पशुधन] - Part-1 || राजस्थान में पशुधन || 17-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2383536/utk-25/1734410808/index.m3u8
[राजस्थान में पशुधन] - Part-2 || राजस्थान में पशुधन || 18-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2384666/utk-25/1734496433/index.m3u8
[राजस्थान में पशुधन] - Part-3 || राजस्थान में पशुधन || 19-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2385755/utk-33/1734583541/index.m3u8
[राजस्थान में पशुधन] - Part-4 || राजस्थान में पशुधन || 20-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2386993/utk-69/1734670287/index.m3u8
[भारत के संगठन] - Part-1 || भारत के संगठन || 21-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2388319/utk-68/1734756504/index.m3u8
[भारत के संगठन] - Part-2 || भारत के संगठन || 24-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2391401/utk-67/1735015974/index.m3u8
[भारत के संगठन] - Part-3 || भारत के संगठन || 25-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2392701/utk-72/1735102507/index.m3u8
[Previous Year Question and Multiple Choice Question] - Part-1 || Previous Year Question and Multiple Choice Question || 26-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2394226/utk-72/1735188627/index.m3u8
[Previous Year Question and Multiple Choice Question] - Part-2 || Previous Year Question and Multiple Choice Question || 27-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2395534/utk-69/1735275047/index.m3u8
[Previous Year Question and Multiple Choice Question] - Part-3 || Previous Year Question and Multiple Choice Question || 28-December : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2396960/utk-1/1735361643/index.m3u8
[Previous Year Question and Multiple Choice Question] - Part-4 || Previous Year Question and Multiple Choice Question || 02-January : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7CPnGnxZk3X/video.m3u8
[Previous Year Question and Multiple Choice Question] - Part-5 || Previous Year Question and Multiple Choice Question || 04-January : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7zPm8uBfTy6/video.m3u8
[Previous Year Question and Multiple Choice Question] - Part-6 || Previous Year Question and Multiple Choice Question || 07-January : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2408749/utk-19/1736217219/index.m3u8
[Previous Year Question and Multiple Choice Question] - Part-7 || Previous Year Question and Multiple Choice Question || 08-January : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AdTQZZhnkcp/video.m3u8
[Previous Year Question and Multiple Choice Question] - Part-8 || Previous Year Question and Multiple Choice Question || 09-January : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/Bnkgd86tfUd/video.m3u8
[Previous Year Question and Multiple Choice Question] - Part-9 || Previous Year Question and Multiple Choice Question || 10-January : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7fG4cfeTfzG/video.m3u8
[Previous Year Question and Multiple Choice Question] - Part-10 || Previous Year Question and Multiple Choice Question || 11-January : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/57kbRAFSame/video.m3u8
[Previous Year Question and Multiple Choice Question] - Part-11 || Previous Year Question and Multiple Choice Question || 13-January : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8738NaDxmKD/video.m3u8
[Previous Year Question and Multiple Choice Question] - Part-12 || Previous Year Question and Multiple Choice Question || 14-January : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AGYgD2pHY6h/video.m3u8
[Previous Year Question and Multiple Choice Question] - Part-13 || Previous Year Question and Multiple Choice Question || 15-January : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/C5XX2k3RbbC/video.m3u8
[Previous Year Question and Multiple Choice Question] - Part-14 || Previous Year Question and Multiple Choice Question || 29-January : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/Aag6KryhTs6/video.m3u8
[Previous Year Question and Multiple Choice Question] - Part-15 || Previous Year Question and Multiple Choice Question || 30-January : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5XNqbpR2Gqk/video.m3u8
[Previous Year Question and Multiple Choice Question] - Part-16 || Previous Year Question and Multiple Choice Question || 31-January : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7uNaqERNQaz/video.m3u8
[Data Collection (डेटा संग्रहण)] - Part-1 || Data Collection (डेटा संग्रहण) || 19-February : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/e7e5pqyXr4D/video.m3u8
[Data Collection (डेटा संग्रहण)] - Part-2 || Data Collection (डेटा संग्रहण) || 20-February : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8xyF5mqaaJU/video.m3u8
[Data Collection (डेटा संग्रहण)] - Part-3 || Data Collection (डेटा संग्रहण) || 21-February : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8EDKxRYfqAN/video.m3u8
[Introduction to Statistics (सांख्यिकी का परिचय)] - Part-1 || Introduction to Statistics (सांख्यिकी का परिचय) || 18-February : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5sseefBYsA9/video.m3u8
[Data Presentation (डेटा प्रस्तुति)] - Part-1 || Data Presentation (डेटा प्रस्तुति) || 22-February : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/aXH3TkzY8Y8/video.m3u8
[Data Presentation (डेटा प्रस्तुति)] - Part-2 || Data Presentation (डेटा प्रस्तुति) || 24-February : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/dMuXNQhYcQp/video.m3u8
[Measures of Central Tendency (केन्द्रीय प्रवृत्तियों के माप)] - Part-1 || Measures of Central Tendency (केन्द्रीय प्रवृत्तियों के माप) || 25-February : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/A7dCJq7PC4d/video.m3u8
[Measures of Central Tendency (केन्द्रीय प्रवृत्तियों के माप)] - Part-2 || Measures of Central Tendency (केन्द्रीय प्रवृत्तियों के माप) || 26-February : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5eJ9UcrpZUb/video.m3u8
[Measures of Central Tendency (केन्द्रीय प्रवृत्तियों के माप)] - Part-3 || Measures of Central Tendency (केन्द्रीय प्रवृत्तियों के माप) || 27-February : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8BjbaUaT8XP/video.m3u8
[Measures of Central Tendency (केन्द्रीय प्रवृत्तियों के माप)] - Part-4 || Measures of Central Tendency (केन्द्रीय प्रवृत्तियों के माप) || 28-February : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8ktCuX8KkU5/video.m3u8
[Measures of Dispersion (विचलन के माप)] - Part-1 || Measures of Dispersion (विचलन के माप) || 01-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9eprsQej9Bm/video.m3u8
[Measures of Dispersion (विचलन के माप)] - Part-2 || Measures of Dispersion (विचलन के माप) || 03-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9txuphEGmrd/video.m3u8
[Measures of Dispersion (विचलन के माप)] - Part-3 || Measures of Dispersion (विचलन के माप) || 04-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4AcH3RTJN66/video.m3u8
[Measures of Dispersion (विचलन के माप)] - Part-4 || Measures of Dispersion (विचलन के माप) || 05-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7z2eYPCCQDj/video.m3u8
[Correlation and Regression (सहसंबंध और प्रतिगमन)] - Part-1 || Correlation and Regression (सहसंबंध और प्रतिगमन) || 06-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8CUUAX7DzRA/video.m3u8
[Correlation and Regression (सहसंबंध और प्रतिगमन)] - Part-2 || Correlation and Regression (सहसंबंध और प्रतिगमन) || 07-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8FPzdsfS958/video.m3u8
