(Course Information and Syllabus) Live Interaction With Akshay Sir and Team || 11 February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2451536/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-1 || राजस्थान के प्रमुख दुर्ग || 22-August : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2243436/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-2 || राजस्थान के प्रमुख दुर्ग || 23-August : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2244716/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-3 || राजस्थान के प्रमुख दुर्ग || 24-August : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2246365/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-4 || राजस्थान के प्रमुख दुर्ग || 25-August : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2247488/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-5 || राजस्थान के प्रमुख दुर्ग || 25-August : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2248579/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-1 || राजस्थान के प्रमुख रीति रिवाज || 26-August : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2249001/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-2 || राजस्थान के प्रमुख रीति रिवाज || 27-August : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2249939/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-1 || राजस्थान की प्रमुख जनजातियां || 28-August : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2251719/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-2 || राजस्थान की प्रमुख जनजातियां || 29-August : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2255087/plain/720x1280.mp4
(राजस्थान कला और संस्कृति राजेश  सर ) Part-3 || राजस्थान की प्रमुख जनजातियां || 30-August : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2255117/plain/720x1280.mp4
