[Percentage ] - Part-10 || Percentage || 12-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/89nPaHnx7Fs/video.m3u8
[Percentage ] - Part-11 || Percentage || 14-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/48cpu88JMd9/video.m3u8
[Percentage ] - Part-12 || Percentage || 15-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/Axy69pgDxNa/video.m3u8
[Percentage ] - Part-13 || Percentage || 16-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BJrUFz4Dn7P/video.m3u8
[Ratio and Proportion] - Part-1 || Ratio and Proportion || 17-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7UPUy9PYrAa/video.m3u8
[Ratio and Proportion] - Part-2 || Ratio and Proportion || 18-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BGhFXjDeBYb/video.m3u8
[Ratio and Proportion] - Part-3 || Ratio and Proportion || 19-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4UQZffRP5tC/video.m3u8
[Ratio and Proportion] - Part-4 || Ratio and Proportion || 21-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3PNxcxc2D4k/video.m3u8
[Ratio and Proportion] - Part-5 || Ratio and Proportion || 22-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4g9mBCQ556Q/video.m3u8
[Ratio and Proportion] - Part-6 || Ratio and Proportion || 23-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5HNmpNGbpgj/video.m3u8
[Ratio and Proportion] - Part-7 || Ratio and Proportion || 24-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3sxReaGN5FP/video.m3u8
[Ratio and Proportion] - Part-8 || Ratio and Proportion || 25-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8bUjnAnctYJ/video.m3u8
[Ratio and Proportion] - Part-9 || Ratio and Proportion || 26-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/57cQhrXt2RT/video.m3u8
[Ratio and Proportion] - Part-10 || Ratio and Proportion || 28-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8sZFXGND7hq/video.m3u8
[Ratio and Proportion] - Part-11 || Ratio and Proportion || 29-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7CQP2X79BNf/video.m3u8
[Ratio and Proportion] - Part-12 || Ratio and Proportion || 05-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2552649/utk-72/1746422847/index.m3u8
[Ratio and Proportion] - Part-13 || Ratio and Proportion || 06-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2554365/utk-56/1746509171/index.m3u8
[Ratio and Proportion] - Part-14 || Ratio and Proportion || 07-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/fpx5UkycXam/video.m3u8
[Ratio and Proportion] - Part-15 || Ratio and Proportion || 08-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4RhmUPZjP2D/video.m3u8
[Average] - Part-1 || Average || 09-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5tuUUAJqBJg/video.m3u8
[Average] - Part-2 || Average || 10-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6JH8hfgz3Tt/video.m3u8
[Average] - Part-3 || Average || 12-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/fkgZ7CGpGrN/video.m3u8
[Average] - Part-4 || Average || 13-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9BuRZjpcqAC/video.m3u8
[Average] - Part-5 || Average || 14-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7JBmPqteuea/video.m3u8
[Average] - Part-6 || Average || 15-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8R4ZxzTPxrD/video.m3u8
[Average] - Part-7 || Average || 16-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8yHKBGFfMmY/video.m3u8
[Average] - Part-8 || Average || 17-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8sg7yMsFh6B/video.m3u8
[मानव रोग (Human Disease)] - Part-1 || मानव रोग (Human Disease) || 25-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/49KTpx2Qg6c/video.m3u8
